time,cumm_vehicles_left,cumm_vehicles_right,density_left,density_right,vehicles_left,vehicles_right
882.28,2058,1999,0.23710881872807477,0.06513169682852538,1047,997
882.32,2058,1999,0.22832829703726865,0.06503464134265069,1011,1002
882.36,2058,1999,0.22735577090062864,0.06504957295586211,1047,997
882.4,2058,1999,0.24711889132020426,0.06634862330526192,1011,1002
882.44,2058,1999,0.2501545621895731,0.0686704891596488,1047,997
882.48,2058,1999,0.2465145357924351,0.07191811503314816,1011,1002
882.52,2058,1999,0.251418846167205,0.07507615122737865,1047,997
882.5600000000001,2059,1999,0.2562189573130492,0.08019022875231441,1012,1002
882.6,2059,1999,0.24710499808968078,0.0871931553485038,1047,997
882.64,2059,1999,0.23619186551352855,0.09333751418503256,1012,1002
882.6800000000001,2059,1999,0.2283560834983155,0.10022845368213584,1047,997
882.72,2059,1999,0.2207773262477858,0.11176312488801288,1012,1002
882.76,2059,1999,0.20898197353339587,0.12083407991399386,1047,997
882.8000000000001,2059,1999,0.19947205724010975,0.1297781162276772,1012,1002
882.84,2059,1999,0.19165711507068184,0.13295854984172495,1047,997
882.88,2059,1999,0.18612066270709593,0.14015558740966372,1012,1002
882.9200000000001,2060,1999,0.1833698030634573,0.14902496565728962,1048,997
882.96,2060,1999,0.19283109304991142,0.15089141730872602,1012,1002
883.0,2060,2000,0.19726998020214648,0.16487487308128768,1048,998
883.04,2060,2000,0.20135458997603417,0.1747446694140835,1012,1002
883.08,2060,2000,0.21310826299885377,0.18348712894941166,1048,998
883.12,2060,2000,0.2223750477579799,0.1485546198411276,1012,1002
883.16,2061,2001,0.21799173352783852,0.16692050409126202,1049,999
883.2,2061,2001,0.20573095759091387,0.15125724183240752,1012,1002
883.24,2061,2001,0.20159772151019417,0.13175655497819982,1049,999
883.28,2061,2001,0.21551873849466852,0.11511527205399275,1012,1002
883.32,2061,2001,0.22957174116911538,0.09716000716717432,1049,999
883.36,2062,2001,0.25708033760550175,0.10493937765036132,1013,1002
883.4,2062,2001,0.25198152200340385,0.11316669652989308,1049,999
